MECHANISM,SPECIATE_ID,SPECIES,MOLES
CB6R3_AE7,467,XYLMN,0.074
CB6R3_AE7,469,IVOC,1
CB6R3_AE7,470,ALDX,1
CB6R3_AE7,470,PAR,3
CB6R3_AE7,471,IVOC,1
CB6R3_AE7,472,IVOC,1
CB6R3_AE7,473,IVOC,1
CB6R3_AE7,474,IVOC,1
CB6R3_AE7,475,IOLE,0.0016
CB6R3_AE7,475,OLE,0.11
CB6R3_AE7,475,PAR,5.3
CB6R3_AE7,475,TOL,0.098
CB6R3_AE7,475,UNR,1.52
CB6R3_AE7,475,XYLMN,0.074
CB6R3_AE7,476,NVOL,1
CB6R3_AE7,478,UNR,2
CB6R3_AE7,479,NVOL,1
CB6R3_AE7,480,IVOC,1
CB6R3_AE7,481,PAR,11
CB6R3_AE7,482,IVOC,1
CB6R3_AE7,483,ETHA,0.011
CB6R3_AE7,483,OLE,0.0191
CB6R3_AE7,483,PAR,0.0713
CB6R3_AE7,483,PRPA,0.9521
CB6R3_AE7,484,ETHA,0.011
CB6R3_AE7,484,OLE,0.0191
CB6R3_AE7,484,PAR,0.0713
CB6R3_AE7,484,PRPA,0.9521
CB6R3_AE7,485,PAR,1
CB6R3_AE7,485,XYLMN,1
CB6R3_AE7,486,OLE,0.5
CB6R3_AE7,486,XYLMN,1
CB6R3_AE7,489,PAR,6
CB6R3_AE7,489,UNR,1
CB6R3_AE7,490,IVOC,1
CB6R3_AE7,491,PAR,4
CB6R3_AE7,492,PAR,5
CB6R3_AE7,492,UNR,1
CB6R3_AE7,493,PAR,4
CB6R3_AE7,494,PAR,7
CB6R3_AE7,494,UNR,1
CB6R3_AE7,495,PAR,10
CB6R3_AE7,496,PAR,9
CB6R3_AE7,497,OLE,1
CB6R3_AE7,497,PAR,2
CB6R3_AE7,498,UNR,1
CB6R3_AE7,499,PAR,2.9
CB6R3_AE7,499,TOL,1
CB6R3_AE7,499,UNR,0.1
CB6R3_AE7,500,PAR,9.875
CB6R3_AE7,500,UNR,0.125
CB6R3_AE7,501,OLE,1
CB6R3_AE7,501,PAR,8
CB6R3_AE7,502,PAR,2
CB6R3_AE7,502,XYLMN,1
CB6R3_AE7,503,IVOC,1
CB6R3_AE7,504,IVOC,1
CB6R3_AE7,505,PAR,11
CB6R3_AE7,506,OLE,1
CB6R3_AE7,506,PAR,9
CB6R3_AE7,507,PAR,0.25
CB6R3_AE7,507,TOL,0.25
CB6R3_AE7,507,XYLMN,0.75
CB6R3_AE7,508,PAR,5
CB6R3_AE7,509,IVOC,1
CB6R3_AE7,510,IVOC,1
CB6R3_AE7,511,ISOP,1
CB6R3_AE7,512,PAR,4
CB6R3_AE7,512,UNR,1
